district,2016,2017,2018
Bahraich,739,18283,24462
Ballia,974,13562,9727
Barabanki,2622,25425,39739
Deoria,1156,6861,8401
Gonda,877,16712,11857
Pratapgarh,75,9958,34506
Rae Bareli,977,10000,29511
Shahjahanpur,8746,31393,20177
Unnao,2519,13207,14660
