district,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11
Hardoi,"3,725.40","4,057.76","4,332.87","4,571.40","4,770.48","5,074.00","5,502.42","6,164.59",8.921458098,6.779848981,5.505127087,4.354902218,6.362462478,8.44343713
Hathras,"2,598.40","2,656.39","2,930.90","3,233.09","3,322.93","3,680.90","4,302.12","4,197.41",2.231758005,10.33394946,10.31048483,2.778765825,10.77272166,16.87685077
Jalaun,"2,595.81","2,567.56","2,809.57","2,620.64","3,153.75","3,349.25","3,555.65","3,672.49",-1.088292286,9.425680413,-6.724516563,20.3427407,6.198969481,6.162573711
Jaunpur,"3,398.03","3,727.20","3,902.77","4,264.79","4,584.46","4,766.72","5,301.29","5,461.07",9.687083398,4.710506546,9.275975781,7.495562501,3.975604542,11.21462977
Jhansi,"3,758.01","3,840.71","4,102.22","4,515.24","5,066.15","5,668.68","6,036.94","6,690.54",2.200632782,6.808897313,10.06820697,12.20112331,11.89325227,6.49639775
Kannauj,"1,866.20","2,028.03","2,333.16","2,392.19","2,575.05","2,751.00","3,017.07","2,987.53",8.671632194,15.04563542,2.530045089,7.644041652,6.832877032,9.671755725
Kanpur Dehat,"1,888.86","2,324.64","2,464.55","2,681.73","2,882.61","2,973.19","3,244.10","3,407.64",23.07105873,6.018566316,8.812156377,7.490686982,3.142291188,9.111762114
Kanpur Nagar,"9,867.24","10,435.47","11,223.67","12,057.71","13,232.20","14,894.42","16,343.96","16,776.56",5.758753208,7.553085774,7.431080921,9.740572629,12.56193226,9.732101015
Kanshiram Nagar,0,0,0,0,"2,343.93","2,585.31","2,780.87","3,286.17",,,,,10.29808911,7.564276624
Kaushambi,"1,665.68","1,870.72","1,864.96","1,992.39","2,098.09","2,334.97","2,799.20","3,012.44",12.30968733,-0.30790284,6.832854324,5.305186234,11.29026877,19.88162589
Kheri,"4,943.91","5,094.12","5,362.44","5,391.24","5,447.86","5,976.18","6,226.24","7,532.84",3.038283464,5.267249299,0.537068946,1.050222212,9.697752879,4.184278251
Kushi Nagar,"2,747.22","2,827.31","3,042.64","3,274.32","3,459.26","3,477.69","3,767.86","4,215.04",2.915310751,7.616073229,7.614440091,5.648195656,0.532772905,8.343756919
Lalitpur,"1,516.66","1,527.18","1,750.47","1,570.71","2,081.76","2,248.70","2,495.34","2,462.83",0.693629423,14.62106628,-10.26924198,32.53624157,8.019176082,10.96811491
Lucknow,"11,022.71","10,940.02","12,030.36","12,840.35","13,775.24","15,135.06","16,511.48","17,885.49",-0.750178495,9.966526569,6.732882474,7.2808763,9.871479553,9.094248718
Maharaj Ganj,"2,121.30","2,027.91","2,322.24","2,399.11","2,542.21","2,709.47","3,075.05","3,164.64",-4.40248904,14.51395772,3.310166047,5.964711914,6.579314848,13.49267569
Mahoba,"1,329.19","1,254.11","1,361.62","1,238.51","1,711.31","1,849.80","2,075.71","2,394.30",-5.648552878,8.572613248,-9.041435937,38.17490371,8.092630792,12.21267164
Mainpuri,"2,142.18","2,347.33","2,527.17","2,567.77","2,878.75","3,054.92","3,211.81","3,400.52",9.576692902,7.661470692,1.606540122,12.11089778,6.119669996,5.135650033
Mathura,"4,053.88","4,620.37","5,314.62","5,878.89","6,210.71","5,675.41","6,285.51","7,264.50",13.97401995,15.02585291,10.61731601,5.644262777,-8.618982371,10.74988415
Mau,"2,181.34","2,712.97","2,355.19","2,608.93","2,776.07","3,336.33","3,690.14","3,623.52",24.37171647,-13.18776101,10.77365308,6.40645782,20.18176775,10.60476632
Meerut,"7,176.06","8,159.89","8,573.92","9,174.14","9,385.94","10,125.46","10,916.35","11,918.76",13.70989094,5.073965458,7.000531845,2.308663264,7.879019043,7.810904393
Mirzapur,"2,273.74","2,486.63","2,773.13","2,961.16","3,192.59","3,332.33","3,647.50","3,954.20",9.362987853,11.52161761,6.780425007,7.815518243,4.377010515,9.457946842
Moradabad,"6,458.19","6,809.54","7,598.33","8,150.95","9,052.98","10,224.96","10,234.18","10,396.03",5.440378806,11.58360183,7.272913917,11.06656279,12.94579244,0.090171502
Muzaffarnagar,"7,249.90","7,772.79","8,052.60","8,387.25","8,531.06","9,940.31","10,508.46","10,982.67",7.212375343,3.599865685,4.155800611,1.714626367,16.51904922,5.715616515
Pilibhit,"3,240.67","3,534.47","3,661.70","4,185.30","3,794.89","4,059.31","4,423.56","4,424.77",9.06602647,3.599691043,14.29936915,-9.328124627,6.967790898,8.973199879
Pratap Garh,"2,380.61","2,542.54","2,620.63","2,842.52","3,283.40","3,377.65","4,059.13","3,774.04",6.802038133,3.071338111,8.467048,15.51018111,2.870500091,20.17615798
Rae Bareli,"3,242.59","3,374.52","3,543.05","3,838.39","4,028.71","4,329.42","3,496.22","3,595.04",4.068661163,4.994191767,8.335755917,4.958328883,7.464175878,-19.24507209
Rampur,"3,031.40","3,108.43","3,337.29","4,024.69","3,865.72","4,271.97","4,357.43","4,512.60",2.541070133,7.362559234,20.59755071,-3.949869431,10.50903842,2.000482213
Saharanpur,"6,314.72","6,906.34","6,851.28","7,339.26","7,500.83","8,633.31","9,833.27","8,893.05",9.368903134,-0.797238479,7.122464707,2.201448102,15.09806248,13.89918814
Sant kabeer Maharaj Ganj,"1,326.62","1,363.05","1,267.81","1,397.01","1,584.23","1,690.15","1,893.82","2,102.46",2.746076495,-6.987271193,10.19080146,13.40147887,6.685897881,12.05040973
Sant Ravi Das Nagar,"1,622.83","1,703.34","2,140.95","2,339.56","2,494.63","2,386.29","2,644.79","3,230.77",4.961086497,25.69128888,9.27672295,6.628169399,-4.342928611,10.83271522
Shahjahanpur,"3,708.07","3,787.72","4,113.89","4,936.29","4,464.59","4,780.94","5,241.29","6,095.47",2.148017702,8.611248984,19.99081162,-9.555759487,7.085757035,9.628859597
Shravasti,"1,278.24","1,110.52","1,316.56",977.03,"1,124.80","1,130.61","1,454.36","1,380.81",-13.1211666,18.55347045,-25.78917786,15.12440764,0.516536273,28.63498465
Siddharth Nagar,"1,655.23","2,044.46","2,101.83","2,221.83","2,340.45","2,387.39","2,946.21","2,915.20",23.51516104,2.806119953,5.709310458,5.338842306,2.005597214,23.40715174
Sitapur,"4,843.20","4,949.76","5,627.05","6,057.86","6,091.28","6,538.64","7,216.01","7,181.39",2.200198216,13.68328969,7.656054238,0.551679966,7.344269185,10.35949372
Sonbhadra,"3,920.12","4,571.91","4,459.49","4,642.95","4,989.13","5,104.03","5,110.97","5,666.16",16.62678694,-2.458928544,4.113923341,7.456035495,2.303006737,0.135970988
Sultanpur,"4,123.21","3,957.90","4,013.56","4,500.63","4,830.92","4,931.65","3,767.84","4,157.88",-4.009254925,1.406301321,12.13561028,7.338750353,2.085110083,-23.59879553
Unnao,"3,813.71","4,078.94","4,285.90","4,608.56","4,874.87","5,167.21","5,838.82","6,245.40",6.954645214,5.07386723,7.528407102,5.778594615,5.996877865,12.99753639
Varanasi,"4,365.39","4,575.57","5,132.50","4,798.89","5,207.78","6,399.89","6,894.57","7,450.18",4.814690096,12.17181684,-6.499951291,8.520512035,22.89094393,7.729507851
