district,2016,2017,2018
Auraiya,4080,27620,24842
Baghpat,487,4502,24625
Chitrakoot,206,1874,4330
Hamirpur,1806,7727,3501
Lalitpur,1234,17254,19597
Mahoba,760,3022,3634
Shravasti,606,3228,6758
