district,2016,2017,2018
Aligarh,2317,63415,75084
Badaun,584,28655,34583
Bijnor,215,30021,25889
Bulandshahar,2347,43265,189565
Ghazipur,432,7880,3652
Kushi Nagar,2620,11603,9428
Meerut,5694,81794,199818
Saharanpur,1747,30391,52776
Sultanpur,700,9177,12517
Varanasi,4343,24187,17860
