district,2016,2017,2018
Bahraich,1557,16755,21251
Ballia,1138,13687,11138
Barabanki,3829,22463,43346
Deoria,770,7076,7764
Gonda,1830,15579,10628
Pratapgarh,273,9230,31162
Rae Bareli,1137,10641,42625
Shahjahanpur,9125,31987,20253
Unnao,3530,12486,12562
