district,2016,2017,2018
Banda,1327,5680,5399
Bhadohi,188,3338,5016
Etawah,82,3667,18275
Gautam Budh Nagar,8026,34004,36792
Hathras,1418,12001,12706
Jalaun,1145,8101,12243
Kannauj,492,3675,3974
Kaushambi,1369,4139,5884
Sant Kabeer Nagar,1628,6248,4079
