district,2016,2017,2018
Agra,2159,22542,101849
Azamgarh,894,18703,10952
Bareilly,1690,63454,205811
Ghaziabad,8601,37234,69885
Gorakhpur,1265,28949,39828
Jaunpur,2160,14000,7611
Kanpur City,4095,121753,96436
Lucknow,8329,50009,37464
Moradabad,638,21901,23935
Sitapur,1535,30334,16805
