district,2016,2017,2018
Ambedkar Nagar,969,3476,11797
Ayodhya,2026,14178,21406
Basti,1268,4323,6388
Fatehpur,410,14680,9598
Mathura,7749,38611,118397
Mau,1512,7401,3252
Mirzapur,4907,28760,32307
Rampur,4137,26667,13707
Siddharth Nagar,502,3680,4011
