district,2016,2017,2018
Balrampur,400,2043,1953
Chandauli,339,2485,5890
Fatehgarh,547,4803,23998
Jhansi,745,21338,17250
Jyotibaphulleynagar,299,7865,7743
Kanpur Dehat,1763,19211,47009
Mainpuri,1233,20737,23276
Pilibhit,897,8214,7414
Sonbhadra,327,6120,6096
