district,ps,reg_year,reg_month,count
AGRA,BASAI JAGNER,2016,4,3
AGRA,BASAI JAGNER,2016,5,4
AGRA,BASAI JAGNER,2016,6,7
AGRA,BASAI JAGNER,2016,7,3
AGRA,BASAI JAGNER,2016,8,3
AGRA,BASAI JAGNER,2016,9,2
AGRA,BASAI JAGNER,2016,10,4
AGRA,BASAI JAGNER,2016,11,3
AGRA,BASAI JAGNER,2016,12,5
AGRA,BASAI JAGNER,2017,1,4
AGRA,BASAI JAGNER,2017,2,5
AGRA,BASAI JAGNER,2017,3,6
AGRA,BASAI JAGNER,2017,4,3
AGRA,BASAI JAGNER,2017,5,3
AGRA,BASAI JAGNER,2017,6,5
AGRA,BASAI JAGNER,2017,7,5
AGRA,BASAI JAGNER,2017,8,5
AGRA,BASAI JAGNER,2017,9,4
AGRA,BASAI JAGNER,2017,10,29
AGRA,BASAI JAGNER,2017,11,0
AGRA,BASAI JAGNER,2017,12,6
AGRA,BASAI JAGNER,2018,1,5
AGRA,BASAI JAGNER,2018,2,14
AGRA,BASAI JAGNER,2018,3,4
AGRA,BASAI JAGNER,2018,4,5
AGRA,BASAI JAGNER,2018,5,3
AGRA,BASAI JAGNER,2018,6,4
AGRA,BASAI JAGNER,2018,7,4
AGRA,BASAI JAGNER,2018,8,1
AGRA,BASAI JAGNER,2018,9,10
AGRA,BASAI JAGNER,2018,10,2
AGRA,BASAI JAGNER,2018,11,2
AGRA,BASAI JAGNER,2018,12,2
AGRA,BASAUNI,2016,1,2
AGRA,BASAUNI,2016,2,3
AGRA,BASAUNI,2016,3,4
AGRA,BASAUNI,2016,4,1
AGRA,BASAUNI,2016,5,1
AGRA,BASAUNI,2016,6,1
AGRA,BASAUNI,2016,7,7
AGRA,BASAUNI,2016,8,1
AGRA,BASAUNI,2016,9,2
AGRA,BASAUNI,2016,10,3
AGRA,BASAUNI,2016,11,2
AGRA,BASAUNI,2016,12,7
AGRA,BASAUNI,2017,1,5
AGRA,BASAUNI,2017,2,1
AGRA,BASAUNI,2017,3,5
AGRA,BASAUNI,2017,4,2
AGRA,BASAUNI,2017,5,7
AGRA,BASAUNI,2017,6,7
